Player,Raw_TRV,Z_Score_TRV
Alex Kirilloff,-0.7621403522696782,-0.28978261883752526
Enmanuel Valdez,-0.7787494270751607,-0.2960977564355644
Max Kepler,-0.794922249366809,-0.302247021178877
Wilmer Flores,-0.8123211271595792,-0.3088624593414255
Gary Sanchez,-0.8193868386992011,-0.3115489991471248
Ildemaro Vargas,-0.8326230983675994,-0.3165817178306315
Ben Rortvedt,-0.8418172883152368,-0.3200775522044205
Jack Suwinski,-0.8457953965451668,-0.3215901169406337
Thairo Estrada,-0.8490483340219676,-0.3228269557172906
Andrew McCutchen,-0.8667354139115961,-0.32955197469147485
Daz Cameron,-0.8707641933009526,-0.33108380572323903
Jared Triolo,-0.9057631502227315,-0.3443911832465146
Ramon Laureano,-0.9315270191435551,-0.3541871760515527
Dominic Smith,-0.9459931881559357,-0.35968753347058957
Kyle Farmer,-0.95058855876166,-0.3614347950145953
David Peralta,-0.961137838828803,-0.3654458646234979
Juan Yepez,-0.9760523288206544,-0.3711166835948249
Reese McGuire,-0.9831403563293009,-0.3738117084255285
Rowdy Tellez,-0.9950952381447004,-0.3783572189080043
Jose Tena,-0.9973853549288348,-0.3792279719617875
Travis Jankowski,-1.0460969762702017,-0.39774920779201994
Nicky Lopez,-1.0540006740448598,-0.40075436849873225
Tommy Pham,-1.062510856382574,-0.4039901280504521
Junior Caminero,-1.0700548938330317,-0.40685853794699095
Nick Fortes,-1.078444181227093,-0.4100483305671979
Stuart Fairchild,-1.0834815267113378,-0.41196364073555036
Josh Naylor,-1.0880043251867684,-0.41368330875047904
Brayan Rocchio,-1.1071087587824038,-0.4209472369525012
J.D. Martinez,-1.1245727417629594,-0.4275874295474324
Jarred Kelenic,-1.16396074901487,-0.4425636210825728
Taylor Walls,-1.1765467128346716,-0.4473490829012982
Jesus Sanchez,-1.1852100879885998,-0.450643089750038
Emmanuel Rivera,-1.2258588038258558,-0.46609863057348777
CJ Abrams,-1.237937514313296,-0.47069122345589715
Tyler Nevin,-1.2449522369044088,-0.47335837613560744
Leo Jimenez,-1.2599992405103624,-0.4790795797139321
Michael Siani,-1.2618028728514004,-0.47976536062246106
Mitch Garver,-1.3174304880159835,-0.5009162102711816
Bryan Reynolds,-1.3584920443414343,-0.5165287221793864
Nick Senzel,-1.3849831488087994,-0.526601226024105
Tyler Wade,-1.3973852933364668,-0.5313167956822737
Donovan Solano,-1.3989488976595963,-0.5319113126294905
Nelson Velazquez,-1.4199993662092267,-0.5399151663631273
